,date,currency,code,bid,ask
0,2020-06-09,dolar amerykanski,USD,3.8756,3.9538
1,2020-06-09,dolar australijski,AUD,2.6962,2.7506
2,2020-06-09,dolar kanadyjski,CAD,2.8847,2.9429
3,2020-06-09,euro,EUR,4.3984,4.4872
4,2020-06-09,forint (Wegry),HUF,0.012752,0.01301
5,2020-06-09,frank szwajcarski,CHF,4.0769,4.1593
6,2020-06-09,funt szterling,GBP,4.924,5.0234
7,2020-06-09,jen (Japonia),JPY,0.035985,0.036711
8,2020-06-09,korona czeska,CZK,0.1654,0.1688
9,2020-06-09,korona dunska,DKK,0.5898,0.6018
10,2020-06-09,korona norweska,NOK,0.4179,0.4263
11,2020-06-09,korona szwedzka,SEK,0.4222,0.4308
12,2020-06-09,SDR (MFW),XDR,5.3773,5.4859
13,2020-06-10,dolar amerykanski,USD,3.8852,3.9636
14,2020-06-10,dolar australijski,AUD,2.7204,2.7754
15,2020-06-10,dolar kanadyjski,CAD,2.8960000000000004,2.9546
16,2020-06-10,euro,EUR,4.4157,4.5049
17,2020-06-10,forint (Wegry),HUF,0.012861,0.013121
18,2020-06-10,frank szwajcarski,CHF,4.1094,4.1924
19,2020-06-10,funt szterling,GBP,4.9545,5.0545
20,2020-06-10,jen (Japonia),JPY,0.036213,0.036945
21,2020-06-10,korona czeska,CZK,0.166,0.1694
22,2020-06-10,korona dunska,DKK,0.5921,0.6041
23,2020-06-10,korona norweska,NOK,0.4167,0.4251
24,2020-06-10,korona szwedzka,SEK,0.4208,0.4294
25,2020-06-10,SDR (MFW),XDR,5.4,5.509
26,2020-06-12,dolar amerykanski,USD,3.8922,3.9708
27,2020-06-12,dolar australijski,AUD,2.6804,2.7346
28,2020-06-12,dolar kanadyjski,CAD,2.8705,2.9285
29,2020-06-12,euro,EUR,4.399,4.4878
30,2020-06-12,forint (Wegry),HUF,0.012723,0.012981
31,2020-06-12,frank szwajcarski,CHF,4.1097,4.1927
32,2020-06-12,funt szterling,GBP,4.8997,4.9987
33,2020-06-12,jen (Japonia),JPY,0.036256,0.036988
34,2020-06-12,korona czeska,CZK,0.1647,0.1681
35,2020-06-12,korona dunska,DKK,0.59,0.602
36,2020-06-12,korona norweska,NOK,0.4065,0.4147
37,2020-06-12,korona szwedzka,SEK,0.4192,0.4276
38,2020-06-12,SDR (MFW),XDR,5.3749,5.4835
39,2020-06-15,dolar amerykanski,USD,3.894,3.9726
40,2020-06-15,dolar australijski,AUD,2.6722,2.7262
41,2020-06-15,dolar kanadyjski,CAD,2.8591,2.9169
42,2020-06-15,euro,EUR,4.3914,4.4802
43,2020-06-15,forint (Wegry),HUF,0.012645,0.012901
44,2020-06-15,frank szwajcarski,CHF,4.1039,4.1869
45,2020-06-15,funt szterling,GBP,4.8946,4.9934
46,2020-06-15,jen (Japonia),JPY,0.03626,0.036992
47,2020-06-15,korona czeska,CZK,0.1645,0.1679
48,2020-06-15,korona dunska,DKK,0.589,0.6008
49,2020-06-15,korona norweska,NOK,0.404,0.4122
50,2020-06-15,korona szwedzka,SEK,0.4161,0.4245
51,2020-06-15,SDR (MFW),XDR,5.371,5.4796
52,2020-06-16,dolar amerykanski,USD,3.8944,3.973
53,2020-06-16,dolar australijski,AUD,2.6994,2.754
54,2020-06-16,dolar kanadyjski,CAD,2.8797,2.9379
55,2020-06-16,euro,EUR,4.3892,4.4778
56,2020-06-16,forint (Wegry),HUF,0.012716,0.012972
57,2020-06-16,frank szwajcarski,CHF,4.1007,4.1835
58,2020-06-16,funt szterling,GBP,4.9159,5.0153
59,2020-06-16,jen (Japonia),JPY,0.036253,0.036985
60,2020-06-16,korona czeska,CZK,0.1653,0.1687
61,2020-06-16,korona dunska,DKK,0.5887,0.6005
62,2020-06-16,korona norweska,NOK,0.4104,0.4186
63,2020-06-16,korona szwedzka,SEK,0.4176,0.426
64,2020-06-16,SDR (MFW),XDR,5.3801,5.4887
65,2020-06-17,dolar amerykanski,USD,3.9384,4.018
66,2020-06-17,dolar australijski,AUD,2.7131,2.7679
67,2020-06-17,dolar kanadyjski,CAD,2.904,2.9626
68,2020-06-17,euro,EUR,4.4189,4.5081
69,2020-06-17,forint (Wegry),HUF,0.012814,0.013072
